table_id	index_id	total_reads	last_read
3	1	0	NULL
4	1	0	NULL
4	2	0	NULL
5	1	0	NULL
6	1	0	NULL
7	1	0	NULL
8	1	0	NULL
8	2	0	NULL
8	3	1	2025-07-21 06:17:13.357219+00
9	1	0	NULL
11	3	0	NULL
12	1	0	NULL
12	2	0	NULL
13	1	0	NULL
14	1	0	NULL
15	1	0	NULL
15	2	0	NULL
15	3	0	NULL
15	4	0	NULL
15	5	2	2025-07-22 05:19:05.941326+00
19	1	0	NULL
19	2	0	NULL
19	3	0	NULL
19	4	0	NULL
19	5	0	NULL
20	1	0	NULL
21	1	0	NULL
23	1	0	NULL
23	2	0	NULL
23	3	0	NULL
23	4	0	NULL
23	5	0	NULL
23	6	0	NULL
24	1	0	NULL
25	1	0	NULL
26	1	0	NULL
27	1	0	NULL
28	1	0	NULL
30	1	0	NULL
31	1	0	NULL
32	1	0	NULL
33	1	0	NULL
33	2	0	NULL
34	1	0	NULL
35	1	0	NULL
35	2	0	NULL
36	1	0	NULL
37	1	0	NULL
37	2	0	NULL
39	2	0	NULL
40	1	0	NULL
41	1	0	NULL
42	1	0	NULL
42	2	0	NULL
42	3	0	NULL
42	4	0	NULL
42	5	0	NULL
42	6	0	NULL
42	7	0	NULL
42	8	0	NULL
42	9	0	NULL
43	1	0	NULL
43	2	0	NULL
43	3	0	NULL
43	4	0	NULL
43	5	0	NULL
43	6	0	NULL
43	7	0	NULL
43	8	0	NULL
44	1	0	NULL
44	2	0	NULL
45	1	0	NULL
46	2	2	2025-07-22 05:17:08.497526+00
47	1	0	NULL
48	1	0	NULL
50	1	0	NULL
51	1	0	NULL
52	1	0	NULL
52	2	0	NULL
52	3	0	NULL
53	1	0	NULL
54	1	2	2025-07-22 05:19:05.941334+00
55	1	0	NULL
55	2	0	NULL
56	1	0	NULL
56	2	0	NULL
57	1	0	NULL
57	2	0	NULL
58	1	0	NULL
59	1	0	NULL
60	1	0	NULL
61	1	0	NULL
61	2	0	NULL
61	3	0	NULL
61	4	0	NULL
61	5	0	NULL
61	6	0	NULL
61	7	0	NULL
61	8	0	NULL
62	1	0	NULL
62	2	0	NULL
62	3	0	NULL
62	4	0	NULL
62	5	0	NULL
62	6	0	NULL
62	7	0	NULL
62	8	0	NULL
63	1	0	NULL
64	1	0	NULL
65	1	0	NULL
65	2	0	NULL
65	3	0	NULL
66	1	0	NULL
66	2	0	NULL
66	3	0	NULL
66	4	0	NULL
66	5	0	NULL
67	1	0	NULL
67	2	0	NULL
67	3	0	NULL
67	4	0	NULL
67	5	0	NULL
67	6	0	NULL
67	7	0	NULL
67	8	0	NULL
67	9	0	NULL
67	10	0	NULL
67	11	0	NULL
68	1	0	NULL
69	1	0	NULL
70	1	0	NULL
71	1	0	NULL
72	1	0	NULL
