job_id	job_type	description	statement	user_name	status	running_status	created	finished	modified	fraction_completed	high_water_timestamp	error	coordinator_id
100	KEY VISUALIZER	key visualizer job	key visualizer job	node	running	NULL	2025-06-26 06:58:02.784721+00	NULL	2025-06-26 06:58:29.538792+00	0	NULL		1
101	POLL JOBS STATS	POLL JOBS STATS	POLL JOBS STATS	node	running	NULL	2025-06-26 06:58:03.274858+00	NULL	2025-06-26 06:58:29.5389+00	0	NULL		1
103	AUTO UPDATE SQL ACTIVITY	sql activity job	sql activity job	node	running	NULL	2025-06-26 06:58:03.283495+00	NULL	2025-06-26 06:58:29.535793+00	0	NULL		1
104	MVCC STATISTICS UPDATE	mvcc statistics update job	mvcc statistics update job	node	running	NULL	2025-06-26 06:58:03.29267+00	NULL	2025-06-26 06:58:29.538792+00	0	NULL		1
105	UPDATE TABLE METADATA CACHE	UPDATE TABLE METADATA CACHE	UPDATE TABLE METADATA CACHE	node	running	NULL	2025-06-26 06:58:03.301528+00	NULL	2025-06-26 06:58:29.538821+00	0	NULL		1
1084131516357246977	AUTO SPAN CONFIG RECONCILIATION	reconciling span configurations	reconciling span configurations	node	running	NULL	2025-06-26 06:58:02.482073+00	NULL	2025-07-22 05:18:40.955281+00	0	NULL		1
1087231739696971777	SCHEMA CHANGE GC	GC for DROP DATABASE tpcc CASCADE	GC for DROP DATABASE tpcc CASCADE	node	succeeded	waiting for MVCC GC	2025-07-07 05:46:35.550578+00	2025-07-07 12:44:00.160886+00	2025-07-07 12:44:00.160886+00	1	NULL		1
1087241067138482177	SCHEMA CHANGE GC	GC for DROP DATABASE tpcc CASCADE	GC for DROP DATABASE tpcc CASCADE	node	succeeded	waiting for MVCC GC	2025-07-07 06:34:02.060386+00	2025-07-07 16:42:53.849249+00	2025-07-07 16:42:53.849249+00	1	NULL		1
1087244639735447553	SCHEMA CHANGE GC	GC for DROP DATABASE tpcc CASCADE	GC for DROP DATABASE tpcc CASCADE	node	succeeded	waiting for MVCC GC	2025-07-07 06:52:12.329436+00	2025-07-07 13:40:09.015112+00	2025-07-07 13:40:09.015112+00	1	NULL		1
1087249104958980097	SCHEMA CHANGE GC	GC for DROP DATABASE tpcc CASCADE	GC for DROP DATABASE tpcc CASCADE	node	succeeded	waiting for MVCC GC	2025-07-07 07:14:55.005456+00	2025-07-07 16:49:45.900422+00	2025-07-07 16:49:45.900422+00	1	NULL		1
1087253961191227393	SCHEMA CHANGE GC	GC for DROP DATABASE tpcc CASCADE	GC for DROP DATABASE tpcc CASCADE	node	succeeded	waiting for MVCC GC	2025-07-07 07:39:37.012955+00	2025-07-07 16:49:27.827222+00	2025-07-07 16:49:27.827222+00	1	NULL		1
1087265287181336577	SCHEMA CHANGE GC	GC for DROP DATABASE tpcc CASCADE	GC for DROP DATABASE tpcc CASCADE	node	succeeded	waiting for MVCC GC	2025-07-07 08:37:13.431055+00	2025-07-07 23:18:19.00519+00	2025-07-07 23:18:19.00519+00	1	NULL		1
1087317315111124993	AUTO CREATE STATS	Table statistics refresh for system.public.reports_meta	Table statistics refresh for system.public.reports_meta	node	succeeded	NULL	2025-07-07 13:01:51.1057+00	2025-07-07 13:01:51.316122+00	2025-07-07 13:01:51.316122+00	1	NULL		1
1087323868267446273	AUTO SQL STATS COMPACTION	automatic SQL Stats compaction	automatic SQL Stats compaction	node	succeeded	NULL	2025-07-07 13:35:10.965108+00	2025-07-07 13:40:00.555944+00	2025-07-07 13:40:00.555944+00	1	NULL		1
1087334646745825281	AUTO CREATE STATS	Table statistics refresh for system.public.job_info	Table statistics refresh for system.public.job_info	node	succeeded	NULL	2025-07-07 14:30:00.300861+00	2025-07-07 14:30:00.621686+00	2025-07-07 14:30:00.621686+00	1	NULL		1
1087334654189764609	AUTO SQL STATS COMPACTION	automatic SQL Stats compaction	automatic SQL Stats compaction	node	succeeded	NULL	2025-07-07 14:30:02.557202+00	2025-07-07 14:41:02.903705+00	2025-07-07 14:41:02.903705+00	1	NULL		1
1087348780012142593	AUTO SQL STATS COMPACTION	automatic SQL Stats compaction	automatic SQL Stats compaction	node	succeeded	NULL	2025-07-07 15:41:53.415951+00	2025-07-07 16:42:53.919643+00	2025-07-07 16:42:53.919643+00	1	NULL		1
1087362063006400513	AUTO SQL STATS COMPACTION	automatic SQL Stats compaction	automatic SQL Stats compaction	node	succeeded	NULL	2025-07-07 16:49:27.077451+00	2025-07-07 16:49:31.878137+00	2025-07-07 16:49:31.878137+00	1	NULL		1
