feature_name	usage_count
sql.plan.hints.index.select	6
sql.query.count.internal	5202
import.speed-mbps.0	1
pgwire.command.parse	22
sql.plan.builtins.merge_stats_metadata(arg1: jsonb) -> jsonb	2
import.size-mb.0	1
sql.plan.ops.cast.string::int	2
sql.plan.opt.node.join.algo.cross	1
sql.plan.builtins.gen_random_uuid() -> uuid	12
sql.plan.ops.cast.string::float	30
sql.plan.builtins.array_agg(arg1: string) -> string[]	2
sql.plan.opt.node.sort	52
sql.plan.ops.cmp.timestamp < timestamp	1
sql.delete.count.internal	594
sql.misc.count.internal	80
sql.txn.begin.started.count.internal	80
sql.plan.ops.bin.jsonb -> string	295
sql.plan.ops.bin.decimal - int	2
sql.plan.builtins.unique_rowid() -> int	29
sql.exec.query.is-vectorized	97476
sql.plan.ops.cmp.oid = oid	1
sql.plan.builtins.jsonb_array_elements(input: jsonb) -> jsonb	2
sql.plan.ops.cast.array::string	4
sql.plan.builtins.count(arg1: anyelement) -> int	206
sql.plan.ops.bin.string || string	2
sql.select.count.internal	2879
sql.schema.schema_changer_mode.legacy	1
sql.plan.builtins.crdb_internal.sql_liveness_is_alive(session_id: bytes) -> bool	55
sql.txn.rollback.count.internal	79
sql.plan.builtins.merge_statement_stats(arg1: jsonb) -> jsonb	2
sql.plan.builtins.crdb_internal.probe_ranges(timeout: interval, probe_type: unknown_enum) -> tuple{int AS range_id, string AS error, int AS end_to_end_latency_ms, string AS verbose_trace}	1
sql.plan.builtins.now() -> timestamp	32
import.csv.attempted	1
sql.plan.builtins.crdb_internal.pb_to_json(pbname: string, data: bytes, emit_defaults: bool, emit_redacted: bool) -> jsonb	1
sql.update.started.count	92401
txn.restarts.writetooold	1
sql.plan.ops.cast.jsonb::float	60
import.rows.1000	1
sql.schema.create_table	1
sql.plan.ops.bin.int - int	21
sql.plan.ops.cmp.string LIKE string	108
sql.update.started.count.internal	650
sql.crud_query.started.count	92404
sql.plan.opt.partial-index.scan	628
sql.insert.count.internal	828
