store_id	name	value
NULL	gossip.callbacks.pending_duration-p50	0
NULL	distsender.rpc.err.intentmissingerrtype	0
NULL	distsender.circuit_breaker.replicas.count	1
NULL	jobs.row_level_ttl.delete_duration-p75	0
NULL	admission.elastic_cpu.pre_work_nanos	0
NULL	changefeed.checkpoint.create_nanos-p90	0
NULL	changefeed.flush_hist_nanos-p99	0
NULL	distsender.rpc.err.rangekeymismatcherrtype	1
NULL	jobs.row_level_ttl.select_duration-avg	0
NULL	sql.exec.latency.internal-p50	115637.03061671353
NULL	exec.latency-p75	8.065499807943054e+06
NULL	jobs.auto_span_config_reconciliation.expired_pts_records	0
NULL	jobs.backup.resume_failed	0
NULL	changefeed.emitted_batch_sizes-sum	0
NULL	changefeed.checkpoint.total_bytes-p90	0
NULL	jobs.standby_read_ts_poller.expired_pts_records	0
NULL	sql.stats.reported.mem.max-max	0
NULL	sql.txn.latency-sum	1.787316586494e+12
NULL	changefeed.emitted_messages	0
NULL	sql.copy.count.internal	0
NULL	admission.errored.sql-sql-response.normal-pri	0
NULL	admission.wait_durations.sql-kv-response.user-low-pri-p99.9	0
NULL	sql.distsql.exec.latency.internal-p75	479662.7039155477
NULL	jobs.logical_replication.protected_age_sec	0
NULL	kvflowcontrol.tokens.send.elastic.deducted.prevent_send_queue	0
NULL	storeliveness.transport.sent	47984
NULL	sql.service.latency.internal-avg	1.527479907317073e+06
NULL	kv.streamer.operators.active	0
NULL	sql.pre_serve.mem.max-p99.99	0
NULL	sql.distsql.exec.latency.internal-max	2.868316813342006e+07
NULL	jobs.auto_update_sql_activity.currently_idle	2
NULL	changefeed.nprocs_consume_event_nanos-p99.99	0
NULL	changefeed.stage.checkpoint_job_progress.latency-p90	0
NULL	round-trip-latency-sum	4.0984326218e+10
NULL	changefeed.flush_hist_nanos-p99.99	0
NULL	admission.granter.slot_adjuster_increments.kv	129
NULL	admission.elastic_cpu.over_limit_durations-p99.99	0
NULL	rpc.method.transferlease.recv	0
NULL	auth.jwt.conn.latency-p90	0
NULL	jobs.replication_stream_producer.currently_idle	0
NULL	distsender.batch_responses.cross_region.bytes	0
NULL	sql.exec.latency.consistent-sum	1.287715919893e+12
NULL	sql.call_stored_proc.count.internal	0
NULL	sql.guardrails.transaction_rows_written_err.count	0
NULL	sys.rss	1.335656448e+09
NULL	admission.wait_durations.kv.user-low-pri-sum	0
NULL	kvflowcontrol.eval_wait.regular.duration-p99.999	40753.92965871775
NULL	txn.durations-p99.9	9.249147277217315e+07
NULL	obs.tablemetadata.update_job.duration-p99.9	0
NULL	distsender.rpc.err.transactionpusherrtype	1
NULL	changefeed.sink_batch_hist_nanos-p90	0
NULL	jobs.row_level_ttl.currently_idle	0
NULL	rpc.method.recomputestats.recv	30
NULL	distsender.circuit_breaker.replicas.probes.success	0
NULL	jobs.update_table_metadata_cache.fail_or_cancel_failed	0
NULL	sql.mem.root.max-count	0
NULL	jobs.restore.resume_retry_error	0
NULL	sql.mem.bulk.max-p99	0
NULL	auth.ldap.conn.latency-p99.99	0
NULL	distsender.rpc.recovertxn.sent	17
NULL	sql.txn.latency.internal-p99.99	3.769390975388353e+08
NULL	sql.conn.latency-p75	535566.6917706894
NULL	distsender.rpc.barrier.sent	0
NULL	changefeed.message_size_hist-p99	0
NULL	admission.errored.sql-kv-response.user-low-pri	0
NULL	kvflowcontrol.tokens.send.elastic.returned.disconnect	0
NULL	jobs.import_rollback.fail_or_cancel_failed	0
NULL	jobs.replication_stream_producer.fail_or_cancel_completed	0
NULL	sql.mem.bulk.max-p99.99	0
NULL	changefeed.stage.rangefeed_buffer_value.latency-p99.9	0
NULL	changefeed.stage.kv_feed_buffer.latency-p90	0
