id	status	created	created_by_type	created_by_id	claim_session_id	claim_instance_id	num_runs	last_run	job_type	owner	description	error_msg	finished
100	running	2025-06-26 06:58:02.784721	NULL	NULL	\x0101800c3a122d5cad4ba89463e0e8a4426eee	1	NULL	NULL	KEY VISUALIZER	node	key visualizer job	NULL	NULL
101	running	2025-06-26 06:58:03.274858	node	3	\x0101800c3a122d5cad4ba89463e0e8a4426eee	1	NULL	NULL	POLL JOBS STATS	node	POLL JOBS STATS	NULL	NULL
103	running	2025-06-26 06:58:03.283495	NULL	NULL	\x0101800c3a122d5cad4ba89463e0e8a4426eee	1	NULL	NULL	AUTO UPDATE SQL ACTIVITY	node	sql activity job	NULL	NULL
104	running	2025-06-26 06:58:03.29267	NULL	NULL	\x0101800c3a122d5cad4ba89463e0e8a4426eee	1	NULL	NULL	MVCC STATISTICS UPDATE	node	mvcc statistics update job	NULL	NULL
105	running	2025-06-26 06:58:03.301528	node	3	\x0101800c3a122d5cad4ba89463e0e8a4426eee	1	NULL	NULL	UPDATE TABLE METADATA CACHE	node	UPDATE TABLE METADATA CACHE	NULL	NULL
1084131516357246977	running	2025-06-26 06:58:02.482073	NULL	NULL	\x0101800c3a122d5cad4ba89463e0e8a4426eee	1	NULL	NULL	AUTO SPAN CONFIG RECONCILIATION	node	reconciling span configurations	NULL	NULL
1087231739696971777	succeeded	2025-07-07 05:46:35.550578	NULL	NULL	\x0101804144e91962f1450e92ad6078255ed5fa	1	NULL	NULL	SCHEMA CHANGE GC	node	GC for DROP DATABASE tpcc CASCADE	NULL	2025-07-07 12:44:00.160886+00
1087241067138482177	succeeded	2025-07-07 06:34:02.060386	NULL	NULL	\x0101804144e91962f1450e92ad6078255ed5fa	1	NULL	NULL	SCHEMA CHANGE GC	node	GC for DROP DATABASE tpcc CASCADE	NULL	2025-07-07 16:42:53.849249+00
1087244639735447553	succeeded	2025-07-07 06:52:12.329436	NULL	NULL	\x0101804144e91962f1450e92ad6078255ed5fa	1	NULL	NULL	SCHEMA CHANGE GC	node	GC for DROP DATABASE tpcc CASCADE	NULL	2025-07-07 13:40:09.015112+00
1087249104958980097	succeeded	2025-07-07 07:14:55.005456	NULL	NULL	\x0101804144e91962f1450e92ad6078255ed5fa	1	NULL	NULL	SCHEMA CHANGE GC	node	GC for DROP DATABASE tpcc CASCADE	NULL	2025-07-07 16:49:45.900422+00
