desc_id	version	sql_instance_id	session_id	crdb_region
1	2	1	\x0101800c3a122d5cad4ba89463e0e8a4426eee	\x80
3	1	1	\x0101800c3a122d5cad4ba89463e0e8a4426eee	\x80
4	4	1	\x010180aaa139fb149e46d1afd89dc7a409d4e6	\x80
5	1	1	\x0101800c3a122d5cad4ba89463e0e8a4426eee	\x80
6	1	1	\x0101800c3a122d5cad4ba89463e0e8a4426eee	\x80
7	1	1	\x010180aaa139fb149e46d1afd89dc7a409d4e6	\x80
8	1	1	\x0101800c3a122d5cad4ba89463e0e8a4426eee	\x80
9	1	1	\x010180aaa139fb149e46d1afd89dc7a409d4e6	\x80
11	1	1	\x0101800c3a122d5cad4ba89463e0e8a4426eee	\x80
12	1	1	\x0101800c3a122d5cad4ba89463e0e8a4426eee	\x80
13	1	1	\x0101800c3a122d5cad4ba89463e0e8a4426eee	\x80
14	1	1	\x010180aaa139fb149e46d1afd89dc7a409d4e6	\x80
15	1	1	\x0101800c3a122d5cad4ba89463e0e8a4426eee	\x80
19	1	1	\x0101800c3a122d5cad4ba89463e0e8a4426eee	\x80
20	1	1	\x0101800c3a122d5cad4ba89463e0e8a4426eee	\x80
21	1	1	\x010180aaa139fb149e46d1afd89dc7a409d4e6	\x80
23	1	1	\x0101800c3a122d5cad4ba89463e0e8a4426eee	\x80
24	1	1	\x0101800c3a122d5cad4ba89463e0e8a4426eee	\x80
25	1	1	\x0101800c3a122d5cad4ba89463e0e8a4426eee	\x80
26	1	1	\x0101800c3a122d5cad4ba89463e0e8a4426eee	\x80
27	1	1	\x0101800c3a122d5cad4ba89463e0e8a4426eee	\x80
28	1	1	\x0101800c3a122d5cad4ba89463e0e8a4426eee	\x80
30	1	1	\x0101800c3a122d5cad4ba89463e0e8a4426eee	\x80
31	1	1	\x0101800c3a122d5cad4ba89463e0e8a4426eee	\x80
32	1	1	\x0101800c3a122d5cad4ba89463e0e8a4426eee	\x80
33	1	1	\x010180aaa139fb149e46d1afd89dc7a409d4e6	\x80
34	1	1	\x010180aaa139fb149e46d1afd89dc7a409d4e6	\x80
35	1	1	\x0101800c3a122d5cad4ba89463e0e8a4426eee	\x80
36	1	1	\x010180aaa139fb149e46d1afd89dc7a409d4e6	\x80
37	1	1	\x0101800c3a122d5cad4ba89463e0e8a4426eee	\x80
39	1	1	\x010180aaa139fb149e46d1afd89dc7a409d4e6	\x80
40	1	1	\x010180aaa139fb149e46d1afd89dc7a409d4e6	\x80
41	1	1	\x010180aaa139fb149e46d1afd89dc7a409d4e6	\x80
42	1	1	\x0101800c3a122d5cad4ba89463e0e8a4426eee	\x80
43	1	1	\x0101800c3a122d5cad4ba89463e0e8a4426eee	\x80
44	1	1	\x0101800c3a122d5cad4ba89463e0e8a4426eee	\x80
45	1	1	\x010180aaa139fb149e46d1afd89dc7a409d4e6	\x80
46	1	1	\x0101800c3a122d5cad4ba89463e0e8a4426eee	\x80
47	1	1	\x0101800c3a122d5cad4ba89463e0e8a4426eee	\x80
48	1	1	\x010180aaa139fb149e46d1afd89dc7a409d4e6	\x80
50	1	1	\x010180aaa139fb149e46d1afd89dc7a409d4e6	\x80
51	1	1	\x010180aaa139fb149e46d1afd89dc7a409d4e6	\x80
52	1	1	\x0101800c3a122d5cad4ba89463e0e8a4426eee	\x80
53	1	1	\x0101800c3a122d5cad4ba89463e0e8a4426eee	\x80
54	1	1	\x0101800c3a122d5cad4ba89463e0e8a4426eee	\x80
55	1	1	\x010180aaa139fb149e46d1afd89dc7a409d4e6	\x80
56	1	1	\x010180aaa139fb149e46d1afd89dc7a409d4e6	\x80
57	1	1	\x010180aaa139fb149e46d1afd89dc7a409d4e6	\x80
58	1	1	\x010180aaa139fb149e46d1afd89dc7a409d4e6	\x80
59	1	1	\x010180aaa139fb149e46d1afd89dc7a409d4e6	\x80
60	1	1	\x010180aaa139fb149e46d1afd89dc7a409d4e6	\x80
61	1	1	\x0101800c3a122d5cad4ba89463e0e8a4426eee	\x80
62	1	1	\x010180aaa139fb149e46d1afd89dc7a409d4e6	\x80
63	1	1	\x010180aaa139fb149e46d1afd89dc7a409d4e6	\x80
64	1	1	\x010180aaa139fb149e46d1afd89dc7a409d4e6	\x80
65	1	1	\x010180aaa139fb149e46d1afd89dc7a409d4e6	\x80
66	1	1	\x010180aaa139fb149e46d1afd89dc7a409d4e6	\x80
67	1	1	\x010180aaa139fb149e46d1afd89dc7a409d4e6	\x80
68	1	1	\x0101800c3a122d5cad4ba89463e0e8a4426eee	\x80
69	1	1	\x0101800c3a122d5cad4ba89463e0e8a4426eee	\x80
70	1	1	\x0101800c3a122d5cad4ba89463e0e8a4426eee	\x80
71	1	1	\x0101800c3a122d5cad4ba89463e0e8a4426eee	\x80
72	1	1	\x010180aaa139fb149e46d1afd89dc7a409d4e6	\x80
100	1	1	\x010180aaa139fb149e46d1afd89dc7a409d4e6	\x80
101	1	1	\x010180aaa139fb149e46d1afd89dc7a409d4e6	\x80
1391	1	1	\x010180aaa139fb149e46d1afd89dc7a409d4e6	\x80
1392	1	1	\x010180aaa139fb149e46d1afd89dc7a409d4e6	\x80
1393	1	1	\x010180aaa139fb149e46d1afd89dc7a409d4e6	\x80
1394	1	1	\x010180aaa139fb149e46d1afd89dc7a409d4e6	\x80
1395	1	1	\x010180aaa139fb149e46d1afd89dc7a409d4e6	\x80
1396	1	1	\x010180aaa139fb149e46d1afd89dc7a409d4e6	\x80
1397	1	1	\x010180aaa139fb149e46d1afd89dc7a409d4e6	\x80
1398	1	1	\x010180aaa139fb149e46d1afd89dc7a409d4e6	\x80
1399	1	1	\x010180aaa139fb149e46d1afd89dc7a409d4e6	\x80
1400	1	1	\x010180aaa139fb149e46d1afd89dc7a409d4e6	\x80
1401	1	1	\x010180aaa139fb149e46d1afd89dc7a409d4e6	\x80
1402	1	1	\x0101800c3a122d5cad4ba89463e0e8a4426eee	\x80
1403	1	1	\x0101800c3a122d5cad4ba89463e0e8a4426eee	\x80
