table_name	aggregated_ts	row_count
system.statement_activity	2025-07-21 11:00:00+00	37
system.statement_activity	2025-07-21 10:00:00+00	37
system.statement_activity	2025-07-21 09:00:00+00	46
system.statement_activity	2025-07-21 07:00:00+00	180
system.statement_activity	2025-07-21 06:00:00+00	188
system.statement_activity	2025-07-21 04:00:00+00	7
system.statement_activity	2025-07-18 12:00:00+00	131
system.statement_activity	2025-07-18 11:00:00+00	174
system.statement_activity	2025-07-18 10:00:00+00	178
system.statement_activity	2025-07-18 09:00:00+00	171
system.statement_activity	2025-07-18 06:00:00+00	162
system.statement_activity	2025-07-17 11:00:00+00	181
system.statement_activity	2025-07-17 10:00:00+00	181
system.statement_activity	2025-07-17 07:00:00+00	180
system.statement_activity	2025-07-17 06:00:00+00	172
system.statement_activity	2025-07-17 05:00:00+00	180
system.statement_activity	2025-07-17 04:00:00+00	6
system.statement_activity	2025-07-16 13:00:00+00	46
system.statement_activity	2025-07-16 12:00:00+00	125
system.statement_activity	2025-07-16 11:00:00+00	139
system.statement_activity	2025-07-16 09:00:00+00	217
system.statement_activity	2025-07-16 08:00:00+00	214
system.statement_activity	2025-07-16 07:00:00+00	189
system.statement_activity	2025-07-16 06:00:00+00	46
system.statement_activity	2025-07-15 09:00:00+00	157
system.statement_activity	2025-07-15 08:00:00+00	171
system.statement_activity	2025-07-15 07:00:00+00	164
system.statement_activity	2025-07-15 06:00:00+00	174
system.statement_activity	2025-07-14 09:00:00+00	253
system.statement_activity	2025-07-14 08:00:00+00	162
system.statement_activity	2025-07-14 07:00:00+00	162
system.statement_activity	2025-07-09 10:00:00+00	180
system.statement_activity	2025-07-09 09:00:00+00	171
system.statement_activity	2025-07-09 08:00:00+00	166
system.statement_activity	2025-07-09 07:00:00+00	12
system.statement_activity	2025-07-07 08:00:00+00	162
system.statement_activity	2025-07-07 07:00:00+00	171
system.statement_activity	2025-07-07 06:00:00+00	173
system.statement_activity	2025-07-07 05:00:00+00	179
system.statement_activity	2025-07-04 13:00:00+00	99
system.statement_activity	2025-07-04 12:00:00+00	158
system.statement_activity	2025-07-04 11:00:00+00	163
system.statement_activity	2025-07-04 10:00:00+00	181
system.statement_activity	2025-07-03 13:00:00+00	98
system.statement_activity	2025-07-03 12:00:00+00	96
system.statement_activity	2025-07-03 11:00:00+00	96
system.statement_activity	2025-07-03 10:00:00+00	106
system.statement_activity	2025-07-03 09:00:00+00	94
system.statement_activity	2025-07-03 08:00:00+00	94
system.statement_activity	2025-07-03 07:00:00+00	101
system.statement_activity	2025-07-02 13:00:00+00	9
