database_name	schema_name	role	for_all_roles	object_type	grantee	privilege_type	is_grantable
bank	NULL	admin	f	tables	admin	ALL	t
bank	NULL	admin	f	sequences	admin	ALL	t
bank	NULL	admin	f	types	admin	ALL	t
bank	NULL	admin	f	schemas	admin	ALL	t
bank	NULL	admin	f	routines	admin	ALL	t
bank	NULL	admin	f	types	public	USAGE	f
bank	NULL	admin	f	routines	public	EXECUTE	f
bank	NULL	root	f	tables	root	ALL	t
bank	NULL	root	f	sequences	root	ALL	t
bank	NULL	root	f	types	root	ALL	t
bank	NULL	root	f	schemas	root	ALL	t
bank	NULL	root	f	routines	root	ALL	t
bank	NULL	root	f	types	public	USAGE	f
bank	NULL	root	f	routines	public	EXECUTE	f
bank	NULL	NULL	t	types	public	USAGE	f
bank	NULL	NULL	t	routines	public	EXECUTE	f
defaultdb	NULL	admin	f	tables	admin	ALL	t
defaultdb	NULL	admin	f	sequences	admin	ALL	t
defaultdb	NULL	admin	f	types	admin	ALL	t
defaultdb	NULL	admin	f	schemas	admin	ALL	t
defaultdb	NULL	admin	f	routines	admin	ALL	t
defaultdb	NULL	admin	f	types	public	USAGE	f
defaultdb	NULL	admin	f	routines	public	EXECUTE	f
defaultdb	NULL	root	f	tables	root	ALL	t
defaultdb	NULL	root	f	sequences	root	ALL	t
defaultdb	NULL	root	f	types	root	ALL	t
defaultdb	NULL	root	f	schemas	root	ALL	t
defaultdb	NULL	root	f	routines	root	ALL	t
defaultdb	NULL	root	f	types	public	USAGE	f
defaultdb	NULL	root	f	routines	public	EXECUTE	f
defaultdb	NULL	NULL	t	types	public	USAGE	f
defaultdb	NULL	NULL	t	routines	public	EXECUTE	f
postgres	NULL	admin	f	tables	admin	ALL	t
postgres	NULL	admin	f	sequences	admin	ALL	t
postgres	NULL	admin	f	types	admin	ALL	t
postgres	NULL	admin	f	schemas	admin	ALL	t
postgres	NULL	admin	f	routines	admin	ALL	t
postgres	NULL	admin	f	types	public	USAGE	f
postgres	NULL	admin	f	routines	public	EXECUTE	f
postgres	NULL	root	f	tables	root	ALL	t
postgres	NULL	root	f	sequences	root	ALL	t
postgres	NULL	root	f	types	root	ALL	t
postgres	NULL	root	f	schemas	root	ALL	t
postgres	NULL	root	f	routines	root	ALL	t
postgres	NULL	root	f	types	public	USAGE	f
postgres	NULL	root	f	routines	public	EXECUTE	f
postgres	NULL	NULL	t	types	public	USAGE	f
postgres	NULL	NULL	t	routines	public	EXECUTE	f
system	NULL	admin	f	tables	admin	ALL	t
system	NULL	admin	f	sequences	admin	ALL	t
system	NULL	admin	f	types	admin	ALL	t
system	NULL	admin	f	schemas	admin	ALL	t
system	NULL	admin	f	routines	admin	ALL	t
system	NULL	admin	f	types	public	USAGE	f
system	NULL	admin	f	routines	public	EXECUTE	f
system	NULL	root	f	tables	root	ALL	t
system	NULL	root	f	sequences	root	ALL	t
system	NULL	root	f	types	root	ALL	t
system	NULL	root	f	schemas	root	ALL	t
system	NULL	root	f	routines	root	ALL	t
system	NULL	root	f	types	public	USAGE	f
system	NULL	root	f	routines	public	EXECUTE	f
system	NULL	NULL	t	types	public	USAGE	f
system	NULL	NULL	t	routines	public	EXECUTE	f
tpcc	NULL	admin	f	tables	admin	ALL	t
tpcc	NULL	admin	f	sequences	admin	ALL	t
tpcc	NULL	admin	f	types	admin	ALL	t
tpcc	NULL	admin	f	schemas	admin	ALL	t
tpcc	NULL	admin	f	routines	admin	ALL	t
tpcc	NULL	admin	f	types	public	USAGE	f
tpcc	NULL	admin	f	routines	public	EXECUTE	f
tpcc	NULL	root	f	tables	root	ALL	t
tpcc	NULL	root	f	sequences	root	ALL	t
tpcc	NULL	root	f	types	root	ALL	t
tpcc	NULL	root	f	schemas	root	ALL	t
tpcc	NULL	root	f	routines	root	ALL	t
tpcc	NULL	root	f	types	public	USAGE	f
tpcc	NULL	root	f	routines	public	EXECUTE	f
tpcc	NULL	NULL	t	types	public	USAGE	f
tpcc	NULL	NULL	t	routines	public	EXECUTE	f
ycsb	NULL	admin	f	tables	admin	ALL	t
ycsb	NULL	admin	f	sequences	admin	ALL	t
ycsb	NULL	admin	f	types	admin	ALL	t
ycsb	NULL	admin	f	schemas	admin	ALL	t
ycsb	NULL	admin	f	routines	admin	ALL	t
ycsb	NULL	admin	f	types	public	USAGE	f
ycsb	NULL	admin	f	routines	public	EXECUTE	f
ycsb	NULL	root	f	tables	root	ALL	t
ycsb	NULL	root	f	sequences	root	ALL	t
ycsb	NULL	root	f	types	root	ALL	t
ycsb	NULL	root	f	schemas	root	ALL	t
ycsb	NULL	root	f	routines	root	ALL	t
ycsb	NULL	root	f	types	public	USAGE	f
ycsb	NULL	root	f	routines	public	EXECUTE	f
ycsb	NULL	NULL	t	types	public	USAGE	f
ycsb	NULL	NULL	t	routines	public	EXECUTE	f
