table_id	index_id	total_reads	last_read
3	1	2	2025-07-22 05:25:22.405744+00
4	1	0	NULL
4	2	0	NULL
5	1	2	2025-07-22 05:25:22.95917+00
6	1	2	2025-07-22 05:25:22.696199+00
7	1	0	NULL
8	1	2	2025-07-22 05:25:22.958298+00
8	2	0	NULL
8	3	1	2025-07-21 06:17:13.357219+00
9	1	0	NULL
11	3	4	2025-07-22 05:25:28.108981+00
12	1	2	2025-07-22 05:25:22.410018+00
12	2	0	NULL
13	1	2	2025-07-22 05:25:22.684778+00
14	1	0	NULL
15	1	4	2025-07-22 05:25:22.97164+00
15	2	2	2025-07-22 05:25:22.971636+00
15	3	0	NULL
15	4	0	NULL
15	5	6	2025-07-22 06:04:49.854757+00
19	1	0	NULL
19	2	0	NULL
19	3	0	NULL
19	4	0	NULL
19	5	0	NULL
20	1	2	2025-07-22 05:25:22.880139+00
21	1	2	2025-07-22 05:25:22.679366+00
23	1	2	2025-07-22 05:25:22.692774+00
23	2	0	NULL
23	3	0	NULL
23	4	0	NULL
23	5	0	NULL
23	6	0	NULL
24	1	0	NULL
25	1	2	2025-07-22 05:25:22.688796+00
26	1	2	2025-07-22 05:25:22.689654+00
27	1	2	2025-07-22 05:25:22.690408+00
28	1	2	2025-07-22 05:25:22.69118+00
30	1	2	2025-07-22 05:25:22.681184+00
31	1	2	2025-07-22 05:25:22.683099+00
32	1	2	2025-07-22 05:25:22.683916+00
33	1	2	2025-07-22 05:25:22.693771+00
33	2	0	NULL
34	1	0	NULL
35	1	2	2025-07-22 05:25:22.733454+00
35	2	0	NULL
36	1	2	2025-07-22 05:25:22.732462+00
37	1	2	2025-07-22 05:25:22.695042+00
37	2	0	NULL
39	2	2	2025-07-22 05:25:22.730707+00
40	1	2	2025-07-22 05:25:22.680298+00
41	1	0	NULL
42	1	6	2025-07-22 05:25:22.737917+00
42	2	4	2025-07-22 05:25:22.702282+00
42	3	0	NULL
42	4	0	NULL
42	5	0	NULL
42	6	0	NULL
42	7	0	NULL
42	8	0	NULL
42	9	0	NULL
43	1	0	NULL
43	2	2	2025-07-22 05:25:22.702296+00
43	3	0	NULL
43	4	0	NULL
43	5	0	NULL
43	6	0	NULL
43	7	0	NULL
43	8	0	NULL
44	1	2	2025-07-22 05:25:22.404868+00
44	2	0	NULL
45	1	2	2025-07-22 05:25:22.957543+00
46	2	6	2025-07-22 06:01:14.725356+00
47	1	2	2025-07-22 05:25:22.697112+00
48	1	0	NULL
50	1	2	2025-07-22 05:25:22.955889+00
51	1	0	NULL
52	1	4	2025-07-22 05:25:22.682189+00
52	2	0	NULL
52	3	0	NULL
53	1	2	2025-07-22 05:25:22.431691+00
54	1	10	2025-07-22 06:04:49.854765+00
55	1	0	NULL
55	2	0	NULL
56	1	0	NULL
56	2	0	NULL
57	1	0	NULL
57	2	0	NULL
58	1	0	NULL
59	1	2	2025-07-22 05:25:22.954898+00
60	1	2	2025-07-22 05:25:22.956747+00
61	1	0	NULL
61	2	0	NULL
61	3	2	2025-07-22 05:25:22.702305+00
61	4	0	NULL
61	5	0	NULL
61	6	0	NULL
61	7	0	NULL
61	8	0	NULL
62	1	0	NULL
62	2	0	NULL
62	3	2	2025-07-22 05:25:22.702312+00
62	4	0	NULL
62	5	0	NULL
62	6	0	NULL
62	7	0	NULL
62	8	0	NULL
63	1	0	NULL
64	1	0	NULL
65	1	0	NULL
65	2	0	NULL
65	3	0	NULL
66	1	0	NULL
66	2	0	NULL
66	3	0	NULL
66	4	0	NULL
66	5	0	NULL
67	1	0	NULL
67	2	0	NULL
67	3	0	NULL
67	4	0	NULL
67	5	0	NULL
67	6	0	NULL
67	7	0	NULL
67	8	0	NULL
67	9	0	NULL
67	10	0	NULL
67	11	0	NULL
68	1	2	2025-07-22 05:25:22.626628+00
69	1	2	2025-07-22 05:25:22.6343+00
70	1	2	2025-07-22 05:25:22.658074+00
71	1	2	2025-07-22 05:25:22.616942+00
72	1	0	NULL
