level	name	id	parent_id	used	reserved_used	reserved_reserved	stopped
0	root	1374523862464	0	4075520	8589934592	0	f
1	internal-planner.resume-job-1091481279444811777	1374859280384	1374523862464	0	0	0	f
1	internal-planner.resume-job-1091480833191739393	1374961826864	1374523862464	0	0	0	f
1	internal-planner.resume-job-1091480456795422721	1374944595744	1374523862464	0	0	0	f
1	internal-planner.resume-job-1091475181382008833	1374859536272	1374523862464	0	0	0	f
1	internal-planner.resume-job-105	1374870680032	1374523862464	0	0	0	f
1	internal-planner.resume-job-1084131516357246977	1374893375040	1374523862464	0	0	0	f
1	internal-planner.resume-job-103	1374892743200	1374523862464	0	0	0	f
1	internal-planner.resume-job-104	1374886778368	1374523862464	0	0	0	f
1	internal-planner.resume-job-101	1374897990928	1374523862464	0	0	0	f
1	internal-planner.resume-job-100	1374891038384	1374523862464	0	0	0	f
1	sql	1374617392816	1374523862464	2513920	0	0	f
2	session root	1374617388240	1374617392816	20480	21504	86016	f
3	txn	1374617388768	1374617388240	10240	0	0	f
4	flow-ca178a95	1374526356704	1374617388768	10240	0	0	f
3	session	1374617388416	1374617388240	10240	0	0	f
4	session prepared statements	1374617388592	1374617388416	0	0	0	f
2	session root	1374903054464	1374617392816	102400	21504	86016	f
3	session	1374903054640	1374903054464	71680	0	0	f
4	session prepared statements	1374903054816	1374903054640	50176	0	0	f
2	session root	1374530016416	1374617392816	40960	21504	86016	f
3	session	1374530016592	1374530016416	10240	0	0	f
4	session prepared statements	1374530016768	1374530016592	0	0	0	f
2	internal SQL executor	1374797586960	1374617392816	0	0	0	f
2	internal sql executor	1374617394752	1374617392816	0	0	0	f
2	conn	1374617394576	1374617392816	322560	0	0	f
2	internal SQL executor	1374617394400	1374617392816	0	0	0	f
2	internal SQL executor	1374617394224	1374617392816	0	0	0	f
2	SQLStats	1374617393696	1374617392816	819200	0	0	f
2	SQLStats	1374617393520	1374617392816	952320	0	0	f
1	distsql	1374617392288	1374523862464	0	0	0	f
1	server-cache-mon	1374541858352	1374523862464	10240	0	0	f
1	changefeed-mon	1374541858176	1374523862464	0	0	0	f
1	bulk-mon	1374541857648	1374523862464	0	0	0	f
2	backup-mon	1374541858000	1374541857648	0	0	0	f
2	backfill-mon	1374541857824	1374541857648	0	0	0	f
1	pre-conn	1374523864576	1374523862464	0	0	0	f
1	closed-session-cache	1374523864224	1374523862464	1043547	0	0	f
1	timeseries-results	1374523863520	1374523862464	0	0	0	f
1	timeseries-workers	1374523863344	1374523862464	0	0	0	f
1	kv-mem	1374523862640	1374523862464	92160	0	0	f
2	rangefeed-monitor	1374523862992	1374523862640	20480	0	0	f
2	rangefeed-system-monitor	1374523862816	1374523862640	81920	134217728	0	f
