store_id	name	value
NULL	admission.wait_durations.kv.user-high-pri-sum	781001
NULL	kvflowcontrol.tokens.eval.elastic.returned.disconnect	0
NULL	sql.mem.distsql.max-p90	7421.572914108464
NULL	physical_replication.commit_latency-p99	0
NULL	admission.requested.kv.user-high-pri	45900
NULL	kvflowcontrol.eval_wait.elastic.duration-max	0
NULL	jobs.replication_stream_producer.resume_retry_error	0
NULL	changefeed.checkpoint.timestamp_count-count	0
NULL	tenant.consumption.read_requests	0
NULL	sql.distsql.service.latency-p50	0
NULL	jobs.mvcc_statistics_update.currently_running	1
NULL	changefeed.nprocs_flush_nanos-p99	0
NULL	distsender.rpc.err.intentmissingerrtype	0
NULL	sql.txn.upgraded_iso_level.count	0
NULL	admission.wait_durations.kv-p99.99	9998.991487235437
NULL	sql.failure.count	26
NULL	sql.exec.latency.historical-p99.99	0
NULL	changefeed.checkpoint.total_bytes-p50	0
NULL	logical_replication.events_ingested	0
NULL	sys.host.net.recv.bytes	3.9065164983e+10
NULL	sql.mem.distsql.max-p99	7942.148899084795
NULL	gossip.callbacks.pending_duration-p99.99	0
NULL	changefeed.stage.checkpoint_job_progress.latency-p99	0
NULL	jobs.migration.fail_or_cancel_completed	0
NULL	sql.mem.internal.session.prepared.max-p99.99	8000
NULL	changefeed.kafka_throttling_hist_nanos-p99	0
NULL	sql.service.latency.historical-count	0
NULL	sql.mem.bulk.max-p75	0
NULL	jobs.sql_activity_flush.currently_paused	0
NULL	distsender.rpc.querylocks.sent	222
NULL	sql.mem.conns.max-p75	0
NULL	admission.requested.elastic-cpu.bulk-normal-pri	0
NULL	jobs.auto_config_runner.resume_completed	0
NULL	auth.jwt.conn.latency-p99	0
NULL	changefeed.parallel_io_result_queue_nanos-p99.99	0
NULL	sql.service.latency.consistent-p99.99	2.2344145335596256e+07
NULL	kvflowcontrol.eval_wait.regular.requests.waiting	0
NULL	sql.service.latency-p99.9	1.3980138481130095e+07
NULL	jobs.replication_stream_producer.protected_age_sec	0
NULL	jobs.import_rollback.expired_pts_records	0
NULL	sql.stats.txn_stats_collection.duration-p75	7570.487729413555
NULL	changefeed.stage.emit_row.latency-p99.99	0
NULL	kvflowcontrol.tokens.eval.regular.deducted	3.28161316e+08
NULL	sql.txn.latency.internal-avg	2.0137877311926607e+07
NULL	sql.mem.sql.current	163840
NULL	distsender.rpc.get.sent	1.095653e+06
NULL	jobs.import.resume_failed	0
NULL	physical_replication.admit_latency-count	0
NULL	txn.restarts-sum	2
NULL	exec.latency-p99.9	1.3029596859403085e+07
NULL	jobs.logical_replication.protected_record_count	0
NULL	logical_replication.batch_hist_nanos-p99.9	0
NULL	sql.insert.started.count.internal	10889
NULL	distsender.rpc.err.writeintenterrtype	1
NULL	sql.stats.reported.mem.current	952320
NULL	admission.wait_durations.sql-kv-response.bulk-low-pri-p99	0
NULL	changefeed.admit_latency-avg	0
NULL	sql.update.started.count.internal	7005
NULL	kv.prober.write.latency-sum	0
NULL	changefeed.buffer_entries.allocated_mem.aggregator	0
NULL	sql.txn.commit.started.count	207545
NULL	log.fluent.sink.write.errors	0
NULL	sys.rss	2.052374528e+09
NULL	changefeed.message_size_hist-count	0
NULL	kvflowcontrol.streams.eval.regular.blocked_count	0
NULL	sql.mem.conns.max-sum	0
NULL	jobs.key_visualizer.currently_running	1
NULL	jobs.auto_create_stats.resume_failed	0
NULL	sql.mem.root.max-sum	0
NULL	jobs.auto_sql_stats_compaction.fail_or_cancel_completed	0
NULL	sql.service.latency.consistent.internal-avg	641035.7440430438
NULL	storeliveness.transport.send-queue-size	0
NULL	changefeed.nprocs_consume_event_nanos-max	0
NULL	admission.wait_durations.kv.user-low-pri-p99.99	10000
NULL	rpc.method.computechecksum.recv	24
NULL	sql.txn.begin.count.internal	297
NULL	sql.mem.internal.session.max-avg	4442.0496894409935
NULL	sql.optimizer.plan_cache.hits	258223
NULL	jobs.row_level_ttl.delete_duration-p99.999	0
NULL	admission.wait_durations.sql-kv-response.user-low-pri-count	1486
NULL	sql.mem.sql.session.prepared.max-p99.999	8000
NULL	jobs.schema_change_gc.resume_failed	0
NULL	txn.condensed_intent_spans_rejected	0
NULL	sql.misc.count	65
NULL	admission.wait_durations.sql-kv-response-p75	7500.011508168498
NULL	liveness.heartbeatlatency-p99.99	3.625117049988527e+07
NULL	txn.refresh.fail	1
NULL	changefeed.parallel_io_result_queue_nanos-max	0
NULL	jobs.create_stats.currently_paused	0
NULL	kv.prober.read.latency-p50	0
NULL	sql.exec.latency.historical.internal-sum	7.510739587e+09
NULL	changefeed.checkpoint.total_bytes-p99	0
NULL	jobs.migration.resume_completed	0
NULL	sql.mem.internal.session.prepared.max-count	34112
NULL	txn.durations-p99	8.357557449230921e+06
NULL	admission.wait_durations.sql-kv-response.user-high-pri-p50	0
NULL	admission.wait_durations.kv.locking-normal-pri-max	10000
NULL	admission.elastic_cpu.returned_nanos	1.9707773577e+10
NULL	changefeed.kafka_throttling_hist_nanos-p90	0
NULL	changefeed.nprocs_in_flight_count	0
NULL	sql.txn.begin.started.count.internal	297
NULL	jobs.create_stats.resume_failed	0
NULL	admission.elastic_cpu.max_available_nanos	1e+10
NULL	raft.loaded_entries.reserved.bytes	0
NULL	changefeed.checkpoint.timestamp_count-p99.999	0
NULL	sql.distsql.service.latency.internal-p99.99	3.625117049988527e+07
NULL	sys.host.net.send.bytes	3.6394666086e+10
NULL	admission.wait_durations.sql-sql-response-p99.9	0
NULL	admission.wait_durations.kv.normal-pri-count	1.0541244e+07
NULL	distsender.rpc.excise.sent	0
NULL	changefeed.commit_latency-p99.999	0
NULL	jobs.auto_create_partial_stats.fail_or_cancel_completed	0
NULL	sys.host.net.recv.err	0
NULL	admission.wait_durations.elastic-cpu.normal-pri-avg	0
NULL	sql.mem.internal.session.max-p99	7928.145008599307
NULL	changefeed.checkpoint.create_nanos-p99	0
NULL	sql.pre_serve.mem.max-p99.999	0
NULL	logical_replication.events_retry_failure	0
NULL	distsender.rangefeed.local_ranges	13
NULL	jobs.schema_change.fail_or_cancel_completed	0
NULL	jobs.replication_stream_producer.resume_completed	0
NULL	sql.stats.activity.update.latency-p99	0
NULL	sql.insert.started.count	70526
NULL	sql.exec.latency.historical.internal-p99	1.4002711935735252e+08
NULL	sql.txn.auto_retry.count	39
NULL	kv.streamer.batches.sent	54363
NULL	changefeed.sink_batch_hist_nanos-p99.99	0
NULL	admission.wait_durations.sql-kv-response.normal-pri-p99.9	9989.988440760104
NULL	batch_requests.cross_zone.bytes	0
NULL	jobs.history_retention.fail_or_cancel_completed	0
NULL	sql.stats.txn_stats_collection.duration-p99.999	641547.923652062
NULL	rpc.connection.healthy	2
NULL	sql.temp_object_cleaner.schemas_to_delete	0
NULL	changefeed.checkpoint.create_nanos-p75	0
NULL	admission.wait_queue_length.kv.locking-normal-pri	0
NULL	gossip.callbacks.processing_duration-avg	0
NULL	changefeed.stage.downstream_client_send.latency-max	0
NULL	changefeed.usage.query_duration-p99	0
NULL	sql.contention.txn_id_cache.read	1066
NULL	sql.stats.flush.latency-max	0
NULL	schedules.malformed	0
NULL	admission.wait_durations.kv.user-low-pri-avg	0
NULL	sql.optimizer.plan_cache.misses	1980
NULL	changefeed.checkpoint_hist_nanos-p75	0
NULL	sql.mem.sql.txn.max-p99.9	7994.202050826224
NULL	sys.host.disk.write.count	8.749857e+06
NULL	gossip.callbacks.processing_duration-p99	0
NULL	sql.exec.latency.historical.internal-p50	122269.77145683336
NULL	jobs.auto_config_runner.fail_or_cancel_retry_error	0
NULL	txn.restarts.readwithinuncertainty	0
NULL	sqlliveness.sessions_deletion_runs	7
NULL	distsender.rpc.err.transactionabortederrtype	76
NULL	changefeed.checkpoint.timestamp_count-p99	0
NULL	sql.mem.sql.session.prepared.max-p50	5107.83659612215
NULL	admission.wait_durations.sql-kv-response.bulk-low-pri-p99.9	0
NULL	sql.mem.internal.session.prepared.max-avg	4084.843137254902
NULL	sql.txns.open.internal	1
NULL	storeliveness.transport.send_dropped	0
NULL	kvflowcontrol.eval_wait.regular.duration-p90	9007.187350263535
NULL	sql.mem.internal.session.max-sum	1.67488709e+08
NULL	distsender.rpc.querytxn.sent	2297
NULL	admission.errored.elastic-cpu.normal-pri	0
NULL	kv.prober.read.failures	0
NULL	admission.requested.kv.normal-pri	1.0541244e+07
NULL	kvflowcontrol.eval_wait.regular.duration-sum	2.88891071e+08
NULL	changefeed.kafka_throttling_hist_nanos-count	0
NULL	changefeed.sink_io_inflight	0
NULL	jobs.row_level_ttl.fail_or_cancel_failed	0
NULL	kv.protectedts.reconciliation.errors	0
NULL	rpc.batches.recv	1.0897021e+07
NULL	jobs.typedesc_schema_change.protected_age_sec	0
NULL	sql.stats.flushes.failed	0
NULL	changefeed.kafka_throttling_hist_nanos-max	0
NULL	changefeed.emitted_batch_sizes-p90	0
NULL	requests.slow.distsender	0
NULL	admission.wait_durations.kv.normal-pri-p99.9	9989.997430532614
NULL	jobs.auto_create_partial_stats.protected_age_sec	0
NULL	sql.mem.sql.session.max-sum	7.252871e+06
NULL	sql.mem.root.max-p99.999	0
NULL	sql.exec.latency-count	9.444339e+06
NULL	jobs.migration.expired_pts_records	0
NULL	log.buffered.messages.dropped	0
NULL	kvflowcontrol.tokens.send.elastic.deducted.force_flush_send_queue	0
NULL	sql.txn.latency-p99.999	3.3223969553299185e+07
NULL	logical_replication.events_dlqed_space	0
NULL	jobs.replication_stream_producer.expired_pts_records	0
NULL	batch_requests.cross_region.bytes	0
NULL	jobs.new_schema_change.fail_or_cancel_failed	0
NULL	sql.txn.latency-count	9.396827e+06
NULL	sql.misc.count.internal	298
NULL	jobs.schema_change.fail_or_cancel_retry_error	0
NULL	admission.errored.sql-kv-response.bulk-low-pri	0
NULL	jobs.row_level_ttl.total_expired_rows	0
NULL	kvflowcontrol.tokens.send.elastic.deducted	4.13881068e+08
NULL	kv.rangefeed.mux_stream_send.slow_events	0
NULL	kv.streamer.batches.throttled	0
NULL	distsender.rpc.truncatelog.sent	20845
NULL	kv.prober.read.latency-p99.9	0
NULL	jobs.restore.protected_record_count	0
NULL	sql.mem.internal.txn.max-sum	3.38314316e+08
NULL	jobs.resumed_claimed_jobs	59
NULL	sys.runnable.goroutines.per.cpu	0.0017945550226659886
NULL	sql.mem.distsql.max-p50	5107.83659612215
NULL	jobs.auto_config_task.protected_age_sec	0
NULL	admission.requested.kv	1.0896669e+07
NULL	sql.txn.commit_prepared.started.count.internal	0
NULL	sql.leases.long_wait_for_no_version	0
NULL	sql.contention.resolver.failed_resolutions	134
NULL	jobs.history_retention.fail_or_cancel_failed	0
NULL	changefeed.forwarded_resolved_messages	0
NULL	distsender.rpc.endtxn.sent	704937
NULL	physical_replication.commit_latency-p99.999	0
NULL	sql.txn.latency.internal-max	3.769390975388353e+08
NULL	admission.wait_durations.sql-kv-response.normal-pri-p99.999	9999.903269959035
NULL	sql.stats.mem.max-avg	0
NULL	jobs.replication_stream_producer.resume_failed	0
NULL	admission.wait_durations.sql-kv-response-p99.99	9998.987281172176
NULL	exec.latency-p99	8.173808651878356e+06
NULL	sql.exec.latency.historical-p90	0
NULL	sql.mem.sql.max-p99	8000
NULL	round-trip-latency-p99	3.4863652276780806e+06
NULL	jobs.auto_create_stats.resume_completed	119
NULL	admission.elastic_cpu.over_limit_durations-max	0
NULL	kvflowcontrol.send_queue.count	0
NULL	changefeed.parallel_io_result_queue_nanos-p99.999	0
NULL	rpc.connection.inactive	0
NULL	admission.wait_durations.kv.user-low-pri-p99	10000
NULL	jobs.auto_create_partial_stats.currently_idle	0
NULL	changefeed.stage.rangefeed_buffer_value.latency-p99.999	0
NULL	rpc.method.requestlease.recv	0
NULL	changefeed.stage.kv_feed_buffer.latency-p90	0
NULL	distsender.rangefeed.retry.range_merged	0
NULL	changefeed.backfill_count	0
NULL	auth.scram.conn.latency-p99.999	0
NULL	obs.tablemetadata.update_job.duration-max	0
