job_id	written	status
1087819031065493505	2025-07-09 07:33:42.877799+00	populating schema
1087819097911328769	2025-07-09 07:34:03.322543+00	all stages completed
1087819098781712385	2025-07-09 07:37:01.077549+00	waiting for MVCC GC
1087820957017014273	2025-07-09 07:43:30.533595+00	all stages completed
1087820957400891393	2025-07-09 07:43:30.827566+00	waiting for MVCC GC
1087843845554241537	2025-07-09 09:39:55.707142+00	all stages completed
1087843846446055425	2025-07-09 09:39:56.339689+00	waiting for MVCC GC
1087845364063109121	2025-07-09 09:47:39.13158+00	all stages completed
1087845364995620865	2025-07-09 09:47:39.481323+00	waiting for MVCC GC
1087856107539038209	2025-07-09 10:42:17.77374+00	all stages completed
1087856108455165953	2025-07-09 10:42:18.122534+00	waiting for MVCC GC
1087856612867047425	2025-07-09 10:44:51.982378+00	all stages completed
1087856613761286145	2025-07-09 10:44:52.609867+00	waiting for MVCC GC
1087857935459549185	2025-07-09 10:51:35.610632+00	all stages completed
1087857936370860033	2025-07-09 10:51:35.975633+00	waiting for MVCC GC
1089235647156256769	2025-07-14 07:38:59.913964+00	all stages completed
1089235648267255809	2025-07-14 07:39:00.256833+00	waiting for MVCC GC
1089249283362783233	2025-07-14 08:48:21.294531+00	all stages completed
1089249284278288385	2025-07-14 08:48:21.641385+00	waiting for MVCC GC
1089250514156584961	2025-07-14 08:54:36.893004+00	all stages completed
1089250515041583105	2025-07-14 08:54:37.509702+00	waiting for MVCC GC
1089251475343704065	2025-07-14 08:59:30.065054+00	all stages completed
1089251639507255297	2025-07-14 09:00:20.159799+00	all stages completed
1089251662962491393	2025-07-14 09:00:27.331255+00	all stages completed
1089252004142710785	2025-07-14 09:02:11.457912+00	all stages completed
1089253932891734017	2025-07-14 09:12:00.221173+00	all stages completed
1089253933823197185	2025-07-14 09:12:00.802416+00	waiting for MVCC GC
1089255320936382465	2025-07-14 09:19:03.812422+00	all stages completed
1089255321847037953	2025-07-14 09:19:04.40479+00	waiting for MVCC GC
1089256116673937409	2025-07-14 09:23:06.662856+00	all stages completed
1089256117618180097	2025-07-14 09:23:07.31786+00	waiting for MVCC GC
1089257679008071681	2025-07-14 09:31:03.443326+00	all stages completed
1089257679933833217	2025-07-14 09:31:04.430677+00	waiting for MVCC GC
1089501205681340417	2025-07-15 06:09:41.94491+00	all stages completed
1089501206790635521	2025-07-15 06:09:42.26385+00	waiting for MVCC GC
1089506564931649537	2025-07-15 06:36:57.400128+00	all stages completed
1089506565855182849	2025-07-15 06:36:57.753762+00	waiting for MVCC GC
1089511495415398401	2025-07-15 07:02:02.063184+00	all stages completed
1089511496335228929	2025-07-15 07:02:02.460082+00	waiting for MVCC GC
1089528549126406145	2025-07-15 08:28:46.46198+00	all stages completed
1089528550113509377	2025-07-15 08:28:46.826987+00	waiting for MVCC GC
1089528637928996865	2025-07-15 08:29:13.568454+00	all stages completed
1089528638932746241	2025-07-15 08:29:13.907025+00	waiting for MVCC GC
1089529806413103105	2025-07-15 08:35:10.131384+00	all stages completed
1089529807317237761	2025-07-15 08:35:10.857023+00	waiting for MVCC GC
1089789525237923841	2025-07-16 06:36:10.024303+00	all stages completed
1089789526132948993	2025-07-16 06:36:10.383893+00	waiting for MVCC GC
1089792271743025153	2025-07-16 06:50:08.196333+00	all stages completed
1089792272656433153	2025-07-16 06:50:08.551444+00	waiting for MVCC GC
1089792781927120897	2025-07-16 06:52:43.887028+00	all stages completed
1089792782818803713	2025-07-16 06:52:44.214561+00	waiting for MVCC GC
1089794891215405057	2025-07-16 07:03:27.597834+00	all stages completed
1089794892135170049	2025-07-16 07:03:27.927933+00	waiting for MVCC GC
1089796342701719553	2025-07-16 07:10:50.552521+00	all stages completed
1089796343603396609	2025-07-16 07:10:50.910236+00	waiting for MVCC GC
1089799893413462017	2025-07-16 07:28:54.141193+00	all stages completed
1089799894307667969	2025-07-16 07:28:54.475178+00	waiting for MVCC GC
1089811508378763265	2025-07-16 08:27:58.759899+00	all stages completed
1089811509321400321	2025-07-16 08:27:59.109467+00	waiting for MVCC GC
1089811968799244289	2025-07-16 08:30:19.262977+00	all stages completed
1089811969720549377	2025-07-16 08:30:19.656537+00	waiting for MVCC GC
1089814966979493889	2025-07-16 08:45:34.231053+00	all stages completed
1089814967882743809	2025-07-16 08:45:34.555525+00	waiting for MVCC GC
1089815428751360001	2025-07-16 08:47:55.164781+00	all stages completed
1089815429694259201	2025-07-16 08:47:55.510523+00	waiting for MVCC GC
1089815664939270145	2025-07-16 08:49:07.226195+00	all stages completed
1089815665824923649	2025-07-16 08:49:07.584851+00	waiting for MVCC GC
1089815925974630401	2025-07-16 08:50:26.887656+00	all stages completed
1089815926859595777	2025-07-16 08:50:27.226171+00	waiting for MVCC GC
1089816361686269953	2025-07-16 08:52:39.862129+00	all stages completed
1089816362593550337	2025-07-16 08:52:40.351204+00	waiting for MVCC GC
1089816739056746497	2025-07-16 08:54:35.022108+00	all stages completed
1089816739950329857	2025-07-16 08:54:35.395873+00	waiting for MVCC GC
1089818228942700545	2025-07-16 09:02:09.712215+00	all stages completed
1089818229883109377	2025-07-16 09:02:10.05144+00	waiting for MVCC GC
1089820799675236353	2025-07-16 09:15:14.227952+00	all stages completed
1089820800580124673	2025-07-16 09:15:14.567776+00	waiting for MVCC GC
1089821125483462657	2025-07-16 09:16:53.659227+00	all stages completed
1089821126393069569	2025-07-16 09:16:54.005772+00	waiting for MVCC GC
1089825757284335617	2025-07-16 09:40:27.169979+00	all stages completed
1089825758191124481	2025-07-16 09:40:27.520604+00	waiting for MVCC GC
1089828102680117249	2025-07-16 09:52:22.926903+00	all stages completed
1089828103582908417	2025-07-16 09:52:23.275031+00	waiting for MVCC GC
1089842890170007553	2025-07-16 11:07:35.721249+00	all stages completed
1089842891108843521	2025-07-16 11:07:36.06616+00	waiting for MVCC GC
1089850539699011585	2025-07-16 11:46:30.173233+00	all stages completed
1089850540634079233	2025-07-16 11:46:30.515485+00	waiting for MVCC GC
1089866290410029057	2025-07-16 13:06:36.910397+00	all stages completed
1089866291356827649	2025-07-16 13:06:37.272181+00	waiting for MVCC GC
1089872245213954049	2025-07-16 13:36:54.169856+00	all stages completed
1089872246151708673	2025-07-16 13:36:54.508982+00	waiting for MVCC GC
1090052012743131137	2025-07-17 04:51:14.863227+00	all stages completed
1090052013664272385	2025-07-17 04:51:15.206745+00	waiting for MVCC GC
1090061293242220545	2025-07-17 05:38:27.099291+00	all stages completed
1090061294359773185	2025-07-17 05:38:27.510304+00	waiting for MVCC GC
1090063205148950529	2025-07-17 05:48:10.592647+00	all stages completed
1090063206356516865	2025-07-17 05:48:10.964171+00	waiting for MVCC GC
1090068578658680833	2025-07-17 06:15:30.389203+00	all stages completed
1090068579627859969	2025-07-17 06:15:30.753567+00	waiting for MVCC GC
1090071756313034753	2025-07-17 06:31:40.119332+00	all stages completed
1090071757233553409	2025-07-17 06:31:40.444041+00	waiting for MVCC GC
1090077042575179777	2025-07-17 06:58:33.382981+00	all stages completed
1090077043580960769	2025-07-17 06:58:33.781993+00	waiting for MVCC GC
1090079413857386497	2025-07-17 07:10:37.02824+00	all stages completed
1090079414818045953	2025-07-17 07:10:37.360577+00	waiting for MVCC GC
1090080735719161857	2025-07-17 07:17:20.422183+00	all stages completed
1090080736657604609	2025-07-17 07:17:20.866949+00	waiting for MVCC GC
1090086994208423937	2025-07-17 07:49:10.351528+00	all stages completed
1090086995113050113	2025-07-17 07:49:10.675241+00	waiting for MVCC GC
1090116437767520257	2025-07-17 10:18:55.818614+00	all stages completed
1090116438688235521	2025-07-17 10:18:56.160358+00	waiting for MVCC GC
1090120002777415681	2025-07-17 10:37:03.775535+00	all stages completed
1090120003702882305	2025-07-17 10:37:04.129573+00	waiting for MVCC GC
1090125058914123777	2025-07-17 11:02:46.78717+00	all stages completed
1090125059848962049	2025-07-17 11:02:47.168+00	waiting for MVCC GC
1090131135774916609	2025-07-17 11:33:41.300462+00	all stages completed
1090131136714211329	2025-07-17 11:33:41.635124+00	waiting for MVCC GC
1090356756764065793	2025-07-18 06:41:15.375372+00	all stages completed
1090356757763948545	2025-07-18 06:41:15.767417+00	waiting for MVCC GC
1090384125717151745	2025-07-18 09:00:27.699099+00	all stages completed
1090384126643601409	2025-07-18 09:00:28.037807+00	waiting for MVCC GC
1090391239793868801	2025-07-18 09:36:38.742061+00	all stages completed
1090391240717533185	2025-07-18 09:36:39.081838+00	waiting for MVCC GC
1090394652138242049	2025-07-18 09:54:00.140875+00	all stages completed
